feature,importance
feature_12,0.12232021259566002
feature_5,0.0769284251349835
feature_6,0.06842345698451184
feature_2,0.06627876669380399
feature_17,0.05810575262824608
feature_1,0.05640240851030469
feature_16,0.05169728794028826
feature_4,0.050012343348958065
feature_10,0.04716294019582873
feature_9,0.04412372383917708
feature_15,0.041780530020907446
feature_3,0.040105245098166084
feature_0,0.03969698439364768
feature_7,0.038806258949969454
feature_11,0.03798901742132798
feature_8,0.03676702521316497
feature_14,0.036447046495545574
feature_13,0.035344420234598294
feature_19,0.02771081732973785
feature_18,0.023897336971172387
