LAST SEEN   TYPE     REASON                    OBJECT                                   MESSAGE
24s         Normal   SuccessfulCreate          replicaset/nginx-deployment-7c4b74768    Created pod: nginx-deployment-7c4b74768-trwtg
24s         Normal   Scheduled                 pod/nginx-deployment-7c4b74768-trwtg     Successfully assigned default/nginx-deployment-7c4b74768-trwtg to minikube
23s         Normal   Killing                   pod/nginx-deployment-798dd5959d-nsbsl    Stopping container nginx
23s         Normal   Killing                   pod/nginx-deployment-798dd5959d-xp4r7    Stopping container nginx
23s         Normal   Pulling                   pod/nginx-deployment-7c4b74768-trwtg     Pulling image "nginx:1.25-alpine"
20s         Normal   Created                   pod/nginx-deployment-7c4b74768-trwtg     Container created
20s         Normal   Started                   pod/nginx-deployment-7c4b74768-trwtg     Container started
20s         Normal   Pulled                    pod/nginx-deployment-7c4b74768-trwtg     Successfully pulled image "nginx:1.25-alpine" in 2.765s (2.765s including waiting). Image size: 48299388 bytes.
19s         Normal   Killing                   pod/nginx-deployment-798dd5959d-8qpk4    Stopping container nginx
19s         Normal   ScalingReplicaSet         deployment/nginx-deployment              Scaled down replica set nginx-deployment-798dd5959d from 2 to 1
19s         Normal   SuccessfulDelete          replicaset/nginx-deployment-798dd5959d   Deleted pod: nginx-deployment-798dd5959d-8qpk4
18s         Normal   ScalingReplicaSet         deployment/nginx-deployment              Scaled up replica set nginx-deployment-7c4b74768 from 1 to 2
18s         Normal   Scheduled                 pod/nginx-deployment-7c4b74768-x59w9     Successfully assigned default/nginx-deployment-7c4b74768-x59w9 to minikube
18s         Normal   Pulled                    pod/nginx-deployment-7c4b74768-x59w9     Container image "nginx:1.25-alpine" already present on machine and can be accessed by the pod
18s         Normal   Created                   pod/nginx-deployment-7c4b74768-x59w9     Container created
18s         Normal   SuccessfulCreate          replicaset/nginx-deployment-7c4b74768    Created pod: nginx-deployment-7c4b74768-x59w9
17s         Normal   Started                   pod/nginx-deployment-7c4b74768-x59w9     Container started
16s         Normal   ScalingReplicaSet         deployment/nginx-deployment              Scaled up replica set nginx-deployment-798dd5959d from 0 to 1
16s         Normal   Scheduled                 pod/nginx-deployment-798dd5959d-4g2cs    Successfully assigned default/nginx-deployment-798dd5959d-4g2cs to minikube
16s         Normal   SuccessfulDelete          replicaset/nginx-deployment-798dd5959d   Deleted pod: nginx-deployment-798dd5959d-fl699
16s         Normal   Killing                   pod/nginx-deployment-798dd5959d-fl699    Stopping container nginx
16s         Normal   ScalingReplicaSet         deployment/nginx-deployment              Scaled down replica set nginx-deployment-798dd5959d from 1 to 0
16s         Normal   SuccessfulCreate          replicaset/nginx-deployment-798dd5959d   Created pod: nginx-deployment-798dd5959d-4g2cs
15s         Normal   Pulled                    pod/nginx-deployment-798dd5959d-4g2cs    Container image "nginx:1.27-alpine" already present on machine and can be accessed by the pod
15s         Normal   Started                   pod/nginx-deployment-798dd5959d-4g2cs    Container started
15s         Normal   Created                   pod/nginx-deployment-798dd5959d-4g2cs    Container created
14s         Normal   ScalingReplicaSet         deployment/nginx-deployment              Scaled down replica set nginx-deployment-7c4b74768 from 2 to 1
14s         Normal   SuccessfulCreate          replicaset/nginx-deployment-798dd5959d   Created pod: nginx-deployment-798dd5959d-tjvqk
14s         Normal   Scheduled                 pod/nginx-deployment-798dd5959d-tjvqk    Successfully assigned default/nginx-deployment-798dd5959d-tjvqk to minikube
12s         Normal   ScalingReplicaSet         deployment/nginx-deployment              (combined from similar events): Scaled down replica set nginx-deployment-7c4b74768 from 1 to 0
14s         Normal   SuccessfulDelete          replicaset/nginx-deployment-7c4b74768    Deleted pod: nginx-deployment-7c4b74768-x59w9
14s         Normal   Killing                   pod/nginx-deployment-7c4b74768-x59w9     Stopping container nginx
13s         Normal   Pulled                    pod/nginx-deployment-798dd5959d-tjvqk    Container image "nginx:1.27-alpine" already present on machine and can be accessed by the pod
13s         Normal   Created                   pod/nginx-deployment-798dd5959d-tjvqk    Container created
13s         Normal   Started                   pod/nginx-deployment-798dd5959d-tjvqk    Container started
12s         Normal   Killing                   pod/nginx-deployment-7c4b74768-trwtg     Stopping container nginx
12s         Normal   SuccessfulDelete          replicaset/nginx-deployment-7c4b74768    Deleted pod: nginx-deployment-7c4b74768-trwtg
